Created At        Type       CurrencyAmount Description                                                 Payment Method net calculurate to €  exchange feAll €                 rate       usdt       tx         
28/01/2026, 03:39:donation   $            20Help Mohamad support his family and save them from starvatiopaypal                                                                                      
28/01/2026, 03:39:commission $             0Help Mohamad support his family and save them from starvatiopaypal                                                                                      
28/01/2026, 03:39:cost       $         -1.19Help Mohamad support his family and save them from starvatiopaypal                                                                                      
28/01/2026, 03:39:tax        $             0Help Mohamad support his family and save them from starvatiopaypal                                                                                      
27/01/2026, 18:43:donation   €             5Help sister Warda with her medical conditions in Gaza       card                                                                                        
27/01/2026, 18:43:commission €             0Help sister Warda with her medical conditions in Gaza       card                                                                                        
27/01/2026, 18:43:cost       €         -0.41Help sister Warda with her medical conditions in Gaza       card                                                                                        
27/01/2026, 18:43:tax        €             0Help sister Warda with her medical conditions in Gaza       card                                                                                        
25/01/2026, 13:07:donation   €             5Support Mohammed Al-Louh, a father of seven from Gaza       link                                                                                        
25/01/2026, 13:07:commission €             0Support Mohammed Al-Louh, a father of seven from Gaza       link                                                                                        
25/01/2026, 13:07:cost       €         -0.41Support Mohammed Al-Louh, a father of seven from Gaza       link                                                                                        
25/01/2026, 13:07:tax        €             0Support Mohammed Al-Louh, a father of seven from Gaza       link                                                                                        
25/01/2026, 02:40:donation   $            10Help Mohamad support his family and save them from starvatiocard                                                                                        
25/01/2026, 02:40:commission $             0Help Mohamad support his family and save them from starvatiocard                                                                                        
25/01/2026, 02:40:cost       $         -0.63Help Mohamad support his family and save them from starvatiocard                                                                                        
25/01/2026, 02:40:tax        $             0Help Mohamad support his family and save them from starvatiocard                                                                                        
23/01/2026, 01:09:donation   $            25Help Mohamad support his family and save them from starvatiopaypal                                                                                      
23/01/2026, 01:09:commission $             0Help Mohamad support his family and save them from starvatiopaypal                                                                                      
23/01/2026, 01:09:cost       $         -1.37Help Mohamad support his family and save them from starvatiopaypal                                                                                      
23/01/2026, 01:09:tax        $             0Help Mohamad support his family and save them from starvatiopaypal                                                                                      
20/01/2026, 07:12:donation   $            20Help Mohamad support his family and save them from starvatiopaypal                                                                                      
20/01/2026, 07:12:commission $             0Help Mohamad support his family and save them from starvatiopaypal                                                                                      
20/01/2026, 07:12:cost       $         -1.19Help Mohamad support his family and save them from starvatiopaypal                                                                                      
20/01/2026, 07:12:tax        $             0Help Mohamad support his family and save them from starvatiopaypal                                                                                      
19/01/2026, 14:29:donation   €            40Support Mohammed Al-Louh, a father of seven from Gaza       link                                                                                        
19/01/2026, 14:29:commission €             0Support Mohammed Al-Louh, a father of seven from Gaza       link                                                                                        
19/01/2026, 14:29:cost       €         -1.55Support Mohammed Al-Louh, a father of seven from Gaza       link                                                                                        
19/01/2026, 14:29:tax        €             0Support Mohammed Al-Louh, a father of seven from Gaza       link                                                                                        
18/01/2026, 07:07:donation   €            10Save Ahed and his family from the genocide in Gaza, Palestinlink                                                                                        
18/01/2026, 07:07:commission €             0Save Ahed and his family from the genocide in Gaza, Palestinlink                                                                                        
18/01/2026, 07:07:cost       €         -0.44Save Ahed and his family from the genocide in Gaza, Palestinlink                                                                                        
18/01/2026, 07:07:tax        €             0Save Ahed and his family from the genocide in Gaza, Palestinlink                                                                                        
17/01/2026, 14:42:donation   $            60Help Wafaa and her family rebuild sustainibilty in Gaza     card                                                                                        
17/01/2026, 14:42:commission $             0Help Wafaa and her family rebuild sustainibilty in Gaza     card                                                                                        
17/01/2026, 14:42:cost       $         -2.29Help Wafaa and her family rebuild sustainibilty in Gaza     card                                                                                        
17/01/2026, 14:42:tax        $             0Help Wafaa and her family rebuild sustainibilty in Gaza     card                                                                                        
17/01/2026, 10:50:donation   €            15Help Wafaa and her family rebuild sustainibilty in Gaza     card                                                                                        
17/01/2026, 10:50:commission €             0Help Wafaa and her family rebuild sustainibilty in Gaza     card                                                                                        
17/01/2026, 10:50:cost       €         -0.77Help Wafaa and her family rebuild sustainibilty in Gaza     card                                                                                        
17/01/2026, 10:50:tax        €             0Help Wafaa and her family rebuild sustainibilty in Gaza     card                                                                                        
17/01/2026, 06:48:donation   $            25Help Mohamad support his family and save them from starvatiopaypal                                                                                      
17/01/2026, 06:48:commission $             0Help Mohamad support his family and save them from starvatiopaypal                                                                                      
17/01/2026, 06:48:cost       $         -1.37Help Mohamad support his family and save them from starvatiopaypal                                                                                      
17/01/2026, 06:48:tax        $             0Help Mohamad support his family and save them from starvatiopaypal                                                                                      
15/01/2026, 19:02:donation   $            50Help sister Warda with her medical conditions in Gaza       card                                                                                        
15/01/2026, 19:02:commission $             0Help sister Warda with her medical conditions in Gaza       card                                                                                        
15/01/2026, 19:02:cost       $         -1.93Help sister Warda with her medical conditions in Gaza       card                                                                                        
15/01/2026, 19:02:tax        $             0Help sister Warda with her medical conditions in Gaza       card                                                                                        
15/01/2026, 14:58:donation   €            80Support Mohammed Al-Louh, a father of seven from Gaza       link                                                                                        
